paperId,topicId,topicWeight
1571,1,0.3738
1572,4,0.8318
1573,5,0.5057
1574,2,0.492
1575,1,0.6529
1576,5,0.855
1577,6,0.4158
1578,3,0.4612
1579,3,0.4612
158,3,0.7031
1580,2,0.3436
1581,3,0.3505
1582,1,0.4551
1583,5,0.3873
1584,0,0.4267
1585,4,0.3468
1586,5,0.8988
1587,2,0.498
1588,1,0.4785
1589,2,0.7168
159,4,0.7442
1590,0,0.4809
1591,5,0.6927
1592,3,0.2627
1593,1,0.5428
1594,1,0.5005
1596,0,0.4156
1597,1,0.6579
1598,1,0.5048
1599,5,0.7027
16,3,0.7025
160,2,0.5365
1600,4,0.8206
1601,2,0.948
1602,0,0.3727
1603,5,0.9634
1604,1,0.3562
1605,3,0.4834
1606,3,0.5694
1607,5,0.9387
1608,5,0.8255
1609,0,0.4935
161,2,0.5337
1610,1,0.3373
1611,2,0.4524
1612,6,0.512
1613,2,0.5329
1614,5,0.6552
1615,1,0.8921
1616,0,0.125
1617,1,0.9302
1618,2,0.716
1619,3,0.3685
162,3,0.6745
1620,4,0.9884
1621,4,0.5377
1622,1,0.6761
1623,6,0.4992
1624,3,0.3993
1625,1,0.7401
1626,2,0.5997
1627,6,0.5045
1628,4,0.5043
1629,0,0.5046
163,3,0.9549
1630,2,0.5425
1631,1,0.5172
1632,1,0.5387
1633,4,0.7323
1634,3,0.7684
1635,4,0.7924
1636,4,0.7725
1637,1,0.3426
1638,2,0.4293
1639,1,0.3111
164,3,0.7477
1640,1,0.8126
1641,1,0.7569
1642,2,0.39
1643,1,0.7205
1644,1,0.8473
1645,1,0.8093
1646,4,0.5596
1647,2,0.5749
1648,6,0.3063
1649,3,0.2872
165,3,0.8361
1650,1,0.5077
1651,1,0.6674
1652,1,0.6021
1653,6,0.3725
1654,1,0.81
1655,3,0.6209
1656,4,0.6661
1657,4,0.8156
1658,4,0.9368
1659,3,0.5535
166,4,0.8591
1660,1,0.2919
1661,1,0.5591
1662,2,0.5794
1663,1,0.3858
1664,5,0.7568
1665,5,0.7069
1666,7,0.5696
1667,5,0.8139
1668,2,0.4502
1669,2,0.6334
167,4,0.5573
1670,2,0.7214
1671,6,0.5315
1672,1,0.9179
1673,1,0.6499
1674,1,0.808
1675,7,0.5146
1676,2,0.6116
1677,6,0.5287
1678,2,0.5043
1679,1,0.5958
168,2,0.3989
1680,7,0.2442
1681,6,0.3808
1682,1,0.4619
1683,7,0.6886
1685,3,0.4322
1686,2,0.4456
1687,6,0.7183
1688,3,0.7793
1689,1,0.4376
169,4,0.5283
1690,4,0.9405
1691,1,0.8213
1692,3,0.726
1693,3,0.5746
1694,1,0.8713
1695,2,0.6548
1696,2,0.551
1697,3,0.5154
1698,0,0.6406
1699,1,0.8716
17,2,0.4578
170,4,0.8274
1700,1,0.3611
1702,3,0.6547
1703,4,0.8321
1704,3,0.7484
1705,2,0.6508
1706,1,0.4881
1707,2,0.5952
1708,1,0.2401
1709,1,0.5567
171,2,0.5013
1710,3,0.434
1711,1,0.8343
1712,1,0.5696
1713,5,0.9064
1714,7,0.2814
1715,1,0.3519
1716,5,0.3721
1717,6,0.6416
1718,3,0.6498
1719,1,0.7827
172,4,0.8964
1720,4,0.8242
1721,1,0.8129
1722,1,0.9307
1723,6,0.4875
1724,2,0.3098
1725,4,0.931
1726,1,0.8531
1727,6,0.3499
1728,4,0.7089
1729,0,0.5728
173,4,0.3992
1730,2,0.6406
1731,2,0.6272
1732,2,0.5206
1733,1,0.9012
1734,2,0.6175
1735,6,0.8666
1736,1,0.5974
1737,1,0.795
1738,3,0.4285
1739,6,0.6413
174,3,0.8406
1740,5,0.6113
1741,1,0.7608
1742,7,0.4009
1743,1,0.4677
1744,4,0.6376
1745,1,0.9528
1746,2,0.8706
1747,0,0.5913
1748,5,0.5419
1749,3,0.4348
175,3,0.6623
1750,2,0.4636
1751,2,0.6242
1752,2,0.6128
1753,1,0.5626
1754,5,0.5039
1755,1,0.4765
1757,1,0.4939
1758,4,0.903
1759,2,0.5555
1760,2,0.6982
1761,7,0.4286
1762,3,0.6715
1763,5,0.6127
1764,1,0.308
1765,1,0.4906
1766,1,0.7906
1767,1,0.9285
1768,1,0.3783
1769,6,0.345
177,7,0.3516
1770,5,0.8399
1771,1,0.6419
1772,5,0.7465
1773,3,0.4988
1774,4,0.6903
1775,3,0.3508
1776,4,0.4885
1777,7,0.4497
1778,3,0.7567
1779,1,0.4104
178,2,0.7713
1780,3,0.6395
1781,4,0.5678
1782,3,0.6555
1783,4,0.7745
1784,0,0.4143
1785,0,0.411
1786,5,0.5729
1787,3,0.5259
1788,4,0.3258
1789,1,0.4585
179,3,0.6998
1790,6,0.7319
1791,6,0.5574
1792,2,0.4516
1793,6,0.354
1794,3,0.3819
1795,1,0.8053
1796,7,0.3561
1797,1,0.7974
1798,7,0.5012
1799,4,0.4967
18,4,0.9345
180,3,0.4369
1800,1,0.3973
1801,2,0.6261
1802,1,0.744
1803,1,0.3779
1804,7,0.3461
1805,6,0.6216
1806,7,0.3507
1807,3,0.3711
1808,6,0.6292
1809,4,0.5021
181,3,0.6136
1810,1,0.3374
1811,5,0.6902
1812,0,0.3469
1813,4,0.8855
1814,1,0.4388
1815,1,0.826
1816,2,0.4938
1817,3,0.7712
1818,1,0.6814
1819,3,0.6657
182,4,0.564
1820,3,0.4486
1821,5,0.7379
1822,1,0.4198
1823,6,0.3704
1824,4,0.6151
1825,1,0.5954
1826,6,0.4447
1827,2,0.5026
1828,2,0.621
1829,4,0.4075
183,7,0.3884
1830,1,0.4161
1831,5,0.6813
1832,1,0.8573
1833,6,0.4525
1834,2,0.9682
1835,1,0.2791
1836,2,0.2929
1837,5,0.778
1838,1,0.4304
1839,3,0.8379
184,4,0.7023
1840,3,0.5093
1841,5,0.6225
1842,2,0.6504
1843,3,0.3968
1844,1,0.7851
1845,7,0.6685
1846,1,0.6786
1847,4,0.5382
1848,3,0.4298
1849,5,0.617
185,3,0.9158
1850,1,0.5991
1851,2,0.5674
1852,7,0.3863
1853,1,0.486
1854,6,0.5466
1855,3,0.4454
1856,1,0.5256
1857,1,0.6381
1858,4,0.3185
1859,0,0.4008
186,3,0.471
1860,2,0.897
1861,6,0.4856
1862,6,0.4743
1863,2,0.3596
1864,1,0.4028
1865,1,0.5852
1866,0,0.125
1867,4,0.5017
1868,6,0.4483
1869,3,0.6362
187,4,0.9795
1870,1,0.4019
1871,1,0.4837
1872,2,0.3873
1873,6,0.5523
1874,0,0.5858
1875,1,0.6233
1876,1,0.4362
1877,2,0.3892
1878,2,0.6035
1879,1,0.9098
188,3,0.9984
1880,1,0.4423
1881,6,0.4944
1882,4,0.7875
1883,2,0.6874
1884,2,0.3926
1885,2,0.2513
1886,0,0.4237
1887,7,0.3059
1888,5,0.7383
1889,2,0.6898
189,4,0.6018
1890,1,0.7806
1891,6,0.5421
1892,1,0.2488
1893,1,0.6238
1894,2,0.3924
1895,3,0.8414
1896,1,0.6047
1897,7,0.3182
1898,0,0.2558
1899,1,0.7948
19,2,0.2826
190,2,0.6788
1900,1,0.6879
1901,3,0.5574
1902,2,0.617
1903,4,0.5843
1904,2,0.7235
1905,4,0.9141
1906,1,0.7281
1907,1,0.8845
1908,3,0.4921
1909,2,0.7282
191,3,0.4483
1910,4,0.5484
1911,5,0.7263
1912,4,0.5528
1913,0,0.7041
1914,1,0.5766
1915,5,0.6378
1916,2,0.6344
1917,3,0.6021
1918,1,0.7728
1919,1,0.4619
192,3,0.9944
1920,3,0.4294
1921,0,0.3891
1922,1,0.5989
1923,4,0.9911
1924,6,0.4812
1925,1,0.6596
1926,1,0.3704
1927,4,0.4038
1928,1,0.7928
1929,1,0.5563
193,2,0.4071
1930,1,0.5419
1931,7,0.8617
1932,0,0.3966
1933,3,0.4503
1934,1,0.4932
1935,6,0.6533
1936,5,0.7019
1937,2,0.5858
1938,2,0.3652
1939,2,0.5394
194,5,0.9014
1940,1,0.6092
1941,5,0.7881
1942,0,0.2734
1943,7,0.4817
1944,5,0.998
1945,3,0.7438
1946,3,0.3684
1947,4,0.5006
1948,7,0.4531
1949,3,0.5551
195,3,0.6977
1950,2,0.9663
1951,3,0.7616
1952,1,0.6442
1953,5,0.5853
1954,1,0.6423
1955,5,0.7334
1956,1,0.6774
1957,4,0.896
1958,3,0.4586
1959,7,0.3741
196,2,0.6187
1960,3,0.557
1961,6,0.5553
1962,0,0.4991
1963,1,0.5569
1964,1,0.8221
1965,1,0.63
1966,7,0.4776
1967,1,0.7433
1968,1,0.5573
1969,5,0.3782
197,3,0.8727
1970,1,0.6264
1971,3,0.8373
1972,4,0.654
1973,1,0.4093
1974,4,0.4884
1975,2,0.4952
1976,1,0.5975
1977,4,0.9988
1978,1,0.5033
1979,1,0.7361
198,3,0.3705
1980,6,0.418
1981,5,0.7735
1982,2,0.6255
1983,5,0.8019
1984,5,0.9825
1985,0,0.2862
1986,5,0.8198
1987,3,0.4827
1988,2,0.5839
1989,2,0.4893
199,5,0.4211
1990,1,0.4756
1991,2,0.6448
1992,6,0.5156
1993,7,0.7272
1994,2,0.8491
1995,2,0.5236
1996,7,0.437
1997,2,0.4428
1998,7,0.5627
1999,7,0.3034
2,2,0.4548
20,3,0.3937
200,2,0.5155
2000,4,0.4119
2001,1,0.8049
2002,6,0.3775
2003,5,0.4879
2004,6,0.464
2005,3,0.5713
2006,4,0.4413
2007,1,0.5863
2008,1,0.7182
2009,1,0.7598
201,3,0.8854
2010,1,0.4017
2011,2,0.5771
2012,3,0.3102
2013,0,0.3938
2014,1,0.7234
2015,6,0.3624
2016,3,0.6146
2017,5,0.7973
2018,2,0.3826
2019,0,0.5462
202,3,0.593
2020,1,0.9264
2021,2,0.6033
2022,2,0.53
2023,6,0.4318
2024,2,0.2844
2025,4,0.3122
2026,2,0.4047
2027,1,0.8058
2028,1,0.6488
2029,3,0.3803
203,3,0.8606
2030,7,0.463
2031,2,0.656
2032,4,0.6904
2033,6,0.6546
2034,2,0.9051
2035,7,0.3571
2036,6,0.3917
2037,1,0.3975
2038,2,0.4796
2039,3,0.2953
204,2,0.3466
2040,1,0.5332
2041,3,0.7914
2042,1,0.765
2043,5,0.8042
2044,3,0.565
2045,4,0.7075
2046,7,0.3326
2047,1,0.66
2048,5,0.4951
2049,1,0.4579
205,3,0.7825
2050,3,0.589
2051,1,0.559
2052,5,0.6889
2053,5,0.8719
2054,1,0.5223
2055,1,0.6585
2056,4,0.6429
2057,1,0.5367
2058,3,0.3391
2059,1,0.5308
206,4,0.5846
2060,1,0.6229
2061,3,0.4581
2062,3,0.4788
2063,3,0.6976
2064,1,0.4679
2065,3,0.5806
2066,1,0.8079
2067,2,0.8436
2068,3,0.6882
2069,1,0.7635
207,3,0.85
2070,1,0.8286
2071,1,0.8452
2072,6,0.7925
2073,5,0.5568
2074,0,0.5599
2075,2,0.8216
2076,4,0.9178
2077,1,0.2741
2078,1,0.559
2079,5,0.3856
208,3,0.4857
2080,4,0.4593
2081,3,0.4358
2082,0,0.3032
2083,6,0.3217
2084,3,0.5106
2085,1,0.6299
2086,7,0.3
2087,0,0.5616
2088,2,0.3998
2089,3,0.7594
209,2,0.6568
2090,1,0.7667
2091,1,0.4579
2092,6,0.5733
2093,3,0.3861
2094,6,0.4432
2095,3,0.6583
2096,1,0.5924
2097,1,0.5836
2098,0,0.7642
2099,2,0.5043
21,2,0.6155
210,7,0.396
2100,3,0.5671
2101,5,0.5696
2102,6,0.3348
2103,2,0.4482
2104,3,0.5028
2105,1,0.8902
2106,1,0.4235
2107,1,0.896
2108,1,0.8642
2109,0,0.6521
211,3,0.6298
2110,2,0.8245
2111,3,0.6307
2112,4,0.8631
2113,1,0.4524
2114,4,0.5018
2115,4,0.7826
2116,5,0.7196
2117,2,0.71
2118,7,0.4815
2119,3,0.2882
212,4,0.4529
2120,1,0.6389
2121,1,0.7015
2122,1,0.7725
2123,6,0.4709
2124,4,0.9616
2125,6,0.6304
2126,1,0.4865
2127,6,0.8475
2128,1,0.4716
2129,5,0.6769
213,3,0.8367
2130,3,0.5904
2131,3,0.6871
2132,6,0.7017
2133,1,0.8665
2134,5,0.8152
2135,1,0.8112
2136,6,0.569
2137,3,0.6288
2138,3,0.238
2139,1,0.7166
214,7,0.7522
2140,5,0.3561
2141,6,0.5178
2142,4,0.592
2143,5,0.8578
2144,6,0.3273
2145,2,0.4266
2146,1,0.6062
2147,5,0.9988
2148,1,0.3797
