author_id,institution_id
383, 585 
3834, 462 
3836, 511 
3840, 637 
3841, 585 
3849, 605 
385, 241 
3853, 139 
3854, 580 
3855, 139 
3856, 796 
3857, 227 
3858, 422 
386, 126 
3860, 24 
3861, 524 
3862, 522 
3866, 105 
3871, 847 
3872, 273 
3878, 16 
388, 940 
3880, 896 
3881, 644 
3885, 259 
3886, 159 
3887, 493 
3889, 461 
3893, 763 
3897, 413 
39, 851 
3907, 66 
3909, 66 
391, 618 
3910, 674 
3911, 294 
3912, 160 
3914, 815 
3917, 856 
3918, 61 
3919, 585 
3923, 739 
3925, 952 
3927, 903 
3935, 865 
3936, 863 
3938, 604 
3939, 821 
394, 898 
3941, 36 
3944, 806 
395, 486 
3950, 159 
3951, 157 
3955, 493 
3956, 402 
3963, 772 
3964, 182 
3965, 851 
3971, 39 
3976, 89 
3978, 279 
3979, 942 
3983, 15 
3984, 203 
3985, 227 
3988, 648 
3989, 56 
3990, 762 
3991, 522 
3992, 149 
3993, 398 
3995, 419 
3999, 592 
4, 227 
4001, 390 
4002, 761 
4003, 419 
4005, 1050 
4010, 873 
4013, 465 
4019, 926 
4024, 89 
4025, 225 
4027, 39 
4028, 874 
4029, 859 
403, 364 
4030, 874 
4032, 952 
4037, 89 
4038, 796 
4042, 334 
4046, 921 
4047, 772 
4048, 676 
4050, 676 
4051, 168 
4052, 548 
4056, 638 
4057, 952 
4059, 192 
406, 952 
4062, 410 
4063, 555 
4067, 334 
4069, 718 
4070, 573 
4072, 89 
4074, 227 
4075, 847 
4076, 504 
4077, 704 
4078, 1026 
4079, 749 
4082, 890 
4083, 768 
4087, 796 
4088, 1000 
4089, 1005 
4090, 227 
4091, 227 
4092, 71 
4095, 482 
4102, 334 
4105, 319 
4106, 80 
4110, 352 
4112, 797 
4113, 1005 
4116, 1028 
4122, 896 
4126, 673 
4128, 921 
4129, 952 
413, 33 
4132, 729 
4137, 749 
4138, 601 
4141, 951 
4142, 171 
4144, 566 
4145, 958 
4146, 585 
4147, 149 
4150, 89 
4151, 732 
4153, 687 
4154, 1015 
4156, 316 
4158, 995 
4160, 585 
4161, 940 
4162, 821 
4165, 1040 
4168, 226 
4172, 952 
4173, 91 
4174, 479 
4177, 450 
4179, 784 
4181, 851 
4183, 427 
4185, 149 
4191, 729 
4192, 540 
4194, 294 
42, 377 
4202, 790 
4204, 735 
4208, 585 
4209, 732 
4211, 204 
4212, 205 
4214, 151 
4217, 260 
4218, 367 
422, 473 
4220, 181 
4222, 918 
4224, 909 
4225, 562 
4226, 651 
4227, 70 
4229, 922 
4231, 234 
4233, 453 
4235, 723 
424, 522 
4240, 522 
4241, 522 
4245, 192 
425, 952 
4254, 221 
4255, 227 
4256, 256 
4261, 227 
4262, 796 
4265, 105 
4268, 239 
427, 665 
4270, 227 
4273, 160 
4275, 585 
4276, 950 
4277, 522 
4278, 121 
4279, 227 
4280, 227 
4281, 875 
4282, 227 
4283, 66 
4285, 524 
4286, 664 
4290, 548 
4293, 334 
4294, 141 
4295, 772 
4298, 389 
4299, 604 
430, 1051 
4300, 777 
4302, 1045 
4303, 729 
4305, 493 
4306, 121 
4308, 871 
4309, 582 
4312, 89 
4314, 515 
4315, 432 
4316, 419 
4318, 892 
4320, 604 
4321, 532 
4326, 427 
4328, 307 
